alpha,composed_epsilon,dataset,mean_noise_multiplier,round,seed,target_epsilon,v5_variant,validation_auc,validation_auprc,validation_f1_fixed_0_5
0.5,2.7861592810580653,give_me_some_credit,2.3087029296875,43,123,3.0,ha_uniform,0.8458601553804362,0.3655386423454416,0.0
0.5,2.817162833950072,give_me_some_credit,2.3087029296875,44,123,3.0,ha_uniform,0.8466449410497687,0.36629485472457507,0.0
0.5,2.8481663868420783,give_me_some_credit,2.3087029296875,45,123,3.0,ha_uniform,0.8462875673826685,0.3661115000880013,0.0
0.5,2.878906979765636,give_me_some_credit,2.3087029296875,46,123,3.0,ha_uniform,0.8460810155358167,0.3669246684285725,0.0
0.5,2.9093874749952415,give_me_some_credit,2.3087029296875,47,123,3.0,ha_uniform,0.8464830400334225,0.3678649775567642,0.0
0.5,2.939867970224847,give_me_some_credit,2.3087029296875,48,123,3.0,ha_uniform,0.8469245933211266,0.368375606034115,0.0
0.5,2.969949211913814,give_me_some_credit,2.3087029296875,49,123,3.0,ha_uniform,0.8472816886164657,0.36930505371655814,0.0
0.5,2.999987405174672,give_me_some_credit,2.3087029296875,50,123,3.0,ha_uniform,0.848017647878874,0.37085987542963467,0.0
0.5,1.036782985723411,give_me_some_credit,1.72307333984375,1,2026,3.0,ha_uniform,0.792653234746675,0.3104867531232646,0.0
0.5,1.0986537353838666,give_me_some_credit,1.72307333984375,2,2026,3.0,ha_uniform,0.8220868172487159,0.3392191943769783,0.0
0.5,1.1537736888807053,give_me_some_credit,1.72307333984375,3,2026,3.0,ha_uniform,0.8337971378038205,0.3532991523485683,0.036275695284159616
0.5,1.205599387458797,give_me_some_credit,1.72307333984375,4,2026,3.0,ha_uniform,0.8389065401329682,0.359741224777436,0.07520564042303172
0.5,1.2557884932800063,give_me_some_credit,1.72307333984375,5,2026,3.0,ha_uniform,0.8415119327952667,0.36282353111614307,0.1319910514541387
0.5,1.303900568017172,give_me_some_credit,1.72307333984375,6,2026,3.0,ha_uniform,0.8436008901660833,0.36498206388048005,0.18181818181818182
0.5,1.3515674371318442,give_me_some_credit,1.72307333984375,7,2026,3.0,ha_uniform,0.8452591507478847,0.36663056533232385,0.2442899702085402
0.5,1.3979968047825544,give_me_some_credit,1.72307333984375,8,2026,3.0,ha_uniform,0.8462927450974278,0.36783909618186594,0.27507163323782235
0.5,1.4442410014923721,give_me_some_credit,1.72307333984375,9,2026,3.0,ha_uniform,0.8476587153299104,0.3690782729318725,0.29944547134935307
0.5,1.4893608034886032,give_me_some_credit,1.72307333984375,10,2026,3.0,ha_uniform,0.8480797247816341,0.36957621845520217,0.3092224231464738
0.5,1.5344806054848341,give_me_some_credit,1.72307333984375,11,2026,3.0,ha_uniform,0.8485175478877374,0.37008321658730364,0.3376399655469423
0.5,1.5787446285173492,give_me_some_credit,1.72307333984375,12,2026,3.0,ha_uniform,0.8494525429594436,0.3707071993276489,0.35850622406639004
0.5,1.6228033260118155,give_me_some_credit,1.72307333984375,13,2026,3.0,ha_uniform,0.8500100102485348,0.3711450598294757,0.3673139158576052
0.5,1.666514756200844,give_me_some_credit,1.72307333984375,14,2026,3.0,ha_uniform,0.8502206263231009,0.3712865525223409,0.3744075829383886
0.5,1.7096798024983388,give_me_some_credit,1.72307333984375,15,2026,3.0,ha_uniform,0.8505815074743932,0.37244784161428,0.38221528861154447
0.5,1.752835741827629,give_me_some_credit,1.72307333984375,16,2026,3.0,ha_uniform,0.8509446712741277,0.37207088377207553,0.3880368098159509
0.5,1.795221437110538,give_me_some_credit,1.72307333984375,17,2026,3.0,ha_uniform,0.8515399414483973,0.3729608371342887,0.4006024096385542
0.5,1.8376071323934469,give_me_some_credit,1.72307333984375,18,2026,3.0,ha_uniform,0.8516011275615212,0.37310374933918167,0.4029739776951673
0.5,1.879455544647909,give_me_some_credit,1.72307333984375,19,2026,3.0,ha_uniform,0.8520333275580472,0.37348583087620973,0.4011843079200592
0.5,1.9211409645887405,give_me_some_credit,1.72307333984375,20,2026,3.0,ha_uniform,0.8521982349894153,0.37346398724052254,0.4011756061719324
0.5,1.9623727270202183,give_me_some_credit,1.72307333984375,21,2026,3.0,ha_uniform,0.8525395187687149,0.3740601918037973,0.40263543191800877
0.5,2.003413368465363,give_me_some_credit,1.72307333984375,22,2026,3.0,ha_uniform,0.8527588757165846,0.3739055605731726,0.40493468795355586
0.5,2.043951099147886,give_me_some_credit,1.72307333984375,23,2026,3.0,ha_uniform,0.8529801255924309,0.3746743557246514,0.4054834054834055
0.5,2.084309232936802,give_me_some_credit,1.72307333984375,24,2026,3.0,ha_uniform,0.853231940687663,0.3746482050472869,0.4089272858171346
0.5,2.1241680804584777,give_me_some_credit,1.72307333984375,25,2026,3.0,ha_uniform,0.8533472422711751,0.3752577407094274,0.408017179670723
0.5,2.163702211169155,give_me_some_credit,1.72307333984375,26,2026,3.0,ha_uniform,0.8535528476540388,0.37489336100309173,0.40827980014275517
0.5,2.202924362050565,give_me_some_credit,1.72307333984375,27,2026,3.0,ha_uniform,0.853509031938817,0.37455057940201314,0.4091233071988596
0.5,2.241688238221331,give_me_some_credit,1.72307333984375,28,2026,3.0,ha_uniform,0.8536242778479769,0.37525061607858945,0.4099644128113879
