alpha,comparator_cell,comparator_variant,contrast,dataset,difference_ci95,difference_ci95_high,difference_ci95_low,difference_std,mean_difference,mean_improvement,metric,metric_goal,negative_differences,num_pairs,paired_seeds,paired_t_p,paired_t_p_holm_auprc_family,positive_differences,target_cell,target_epsilon,target_variant,ties,wilcoxon_p,wilcoxon_p_holm_auprc_family
0.5,A0,dp_uniform,ha_under_uniform,default_credit_card_clients,0.030526730264048327,0.07497663609060534,0.013923175562508695,0.0426734263813005,0.04444990582655702,0.04444990582655702,f1,maximize,2,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.009319833509856424,,8,A2,3.0,ha_uniform,0,0.009765625,
0.5,A1,scheduler,ha_under_scheduler,default_credit_card_clients,0.03241077397640313,0.07002800591578903,0.005206457962982768,0.04530713788472381,0.037617231939385896,0.037617231939385896,f1,maximize,2,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.027559021478312365,,8,A3,3.0,full_ha_dp,0,0.013671875,
0.5,A2,ha_uniform,scheduler_with_ha,default_credit_card_clients,0.0023058063856372106,0.005020182314275673,0.00040856954300125215,0.0032232950661900705,0.0027143759286384628,0.0027143759286384628,f1,maximize,3,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.025918378987589672,,7,A3,3.0,full_ha_dp,0,0.02734375,
0.5,A0,dp_uniform,full_vs_uniform_dp,default_credit_card_clients,0.02907884272275201,0.0762431244779475,0.018085439032443473,0.040649419163119094,0.047164281755195485,0.047164281755195485,f1,maximize,0,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.005162094081289138,,10,A3,3.0,full_ha_dp,0,0.001953125,
0.5,A1-A0,scheduler_effect_without_ha,factorial_interaction,default_credit_card_clients,0.007156981909866048,0.00032430802269492204,-0.013989655797037173,0.010004770835304835,-0.006832673887171126,-0.006832673887171126,f1,maximize,7,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.059101047442118776,,3,A3-A2,3.0,scheduler_effect_with_ha,0,0.083984375,
0.5,A0,dp_uniform,scheduler_without_ha,default_credit_card_clients,0.01376995218613131,0.02795622742794033,0.0004163230556777104,0.01924906584512061,0.01418627524180902,0.01418627524180902,balanced_accuracy,maximize,0,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.04470672624000282,,10,A1,3.0,scheduler,0,0.001953125,
0.5,A0,dp_uniform,ha_under_uniform,default_credit_card_clients,0.03641045235650023,0.0758038652040551,0.002982960491054648,0.050898302723722776,0.039393412847554876,0.039393412847554876,balanced_accuracy,maximize,2,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.03690858515519319,,8,A2,3.0,ha_uniform,0,0.009765625,
0.5,A1,scheduler,ha_under_scheduler,default_credit_card_clients,0.022624949573730877,0.04980183563099423,0.004551936483532474,0.031627498643452885,0.02717688605726335,0.02717688605726335,balanced_accuracy,maximize,2,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.023713058334694778,,8,A3,3.0,full_ha_dp,0,0.013671875,
0.5,A2,ha_uniform,scheduler_with_ha,default_credit_card_clients,0.0014101144792342819,0.003379862930751777,0.0005596339722832128,0.0019712041184338073,0.0019697484515174947,0.0019697484515174947,balanced_accuracy,maximize,2,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.01155128836806166,,8,A3,3.0,full_ha_dp,0,0.01953125,
0.5,A0,dp_uniform,full_vs_uniform_dp,default_credit_card_clients,0.035551200628674076,0.07691436192774645,0.005811960670398297,0.049697151633080826,0.041363161299072373,0.041363161299072373,balanced_accuracy,maximize,0,10,"[42, 73, 101, 123, 909, 2026, 4096, 27182, 31415, 65537]",0.027270080444609306,,10,A3,3.0,full_ha_dp,0,0.001953125,
