alpha,composed_epsilon,dataset,mean_noise_multiplier,round,seed,target_epsilon,v5_variant,validation_auc,validation_auprc,validation_f1_fixed_0_5
0.1,1.9741686836600527,default_credit_card_clients,6.183244128417969,22,31415,3.0,ha_uniform,0.5382285460365827,0.26534831382633994,0.0
0.1,2.0182055205197402,default_credit_card_clients,6.183244128417969,23,31415,3.0,ha_uniform,0.543912522583252,0.27191999514516535,0.0
0.1,2.061428089079,default_credit_card_clients,6.183244128417969,24,31415,3.0,ha_uniform,0.5519155333476415,0.28167029440432617,0.0
0.1,2.103855918496747,default_credit_card_clients,6.183244128417969,25,31415,3.0,ha_uniform,0.5575743194292042,0.28946779024533426,0.0
0.1,2.1455948570435157,default_credit_card_clients,6.183244128417969,26,31415,3.0,ha_uniform,0.5638417071477441,0.2993986423707315,0.0
0.1,2.1866331761727076,default_credit_card_clients,6.183244128417969,27,31415,3.0,ha_uniform,0.5691145753038727,0.3073978086664609,0.0
0.1,2.2270107605789033,default_credit_card_clients,6.183244128417969,28,31415,3.0,ha_uniform,0.5759442142035934,0.3170950812133864,0.0
0.1,2.2668038990805264,default_credit_card_clients,6.183244128417969,29,31415,3.0,ha_uniform,0.5810901224155843,0.32419662070823335,0.0
0.1,2.3060292165524436,default_credit_card_clients,6.183244128417969,30,31415,3.0,ha_uniform,0.5848152883955589,0.3300567689573407,0.0
0.1,2.3446767449142873,default_credit_card_clients,6.183244128417969,31,31415,3.0,ha_uniform,0.5894815701519187,0.33738179794222056,0.0
0.1,2.3827801452773802,default_credit_card_clients,6.183244128417969,32,31415,3.0,ha_uniform,0.5911703389326699,0.3402117632746221,0.0
0.1,2.420387615252449,default_credit_card_clients,6.183244128417969,33,31415,3.0,ha_uniform,0.5942209042570878,0.3440666271931627,0.0
0.1,2.457519373903084,default_credit_card_clients,6.183244128417969,34,31415,3.0,ha_uniform,0.5996434037759499,0.3506784537716323,0.0
0.1,2.494196516268825,default_credit_card_clients,6.183244128417969,35,31415,3.0,ha_uniform,0.6042502360346581,0.35817380425312656,0.0
0.1,2.5304410766773278,default_credit_card_clients,6.183244128417969,36,31415,3.0,ha_uniform,0.607070560508001,0.36297055332802247,0.0
0.1,2.566246380093322,default_credit_card_clients,6.183244128417969,37,31415,3.0,ha_uniform,0.6111095996832047,0.37091139035186527,0.0
0.1,2.6016123729299103,default_credit_card_clients,6.183244128417969,38,31415,3.0,ha_uniform,0.6137949032635759,0.37513716306918776,0.0
0.1,2.636594182252996,default_credit_card_clients,6.183244128417969,39,31415,3.0,ha_uniform,0.6160056184813374,0.37800602780148995,0.0
