alpha,comparator,delta_auc,delta_auprc,delta_balanced_accuracy,delta_client_auprc_mean,delta_f1,seed,target_epsilon,v5_variant
0.5,dp_uniform,0.021532086957236962,0.030785673775411415,0.016573508027887374,0.014694499763424296,0.029212533929837303,42,3.0,ha_uniform
0.5,scheduler,0.016271302166996682,0.022347330331988102,0.014293740549011558,0.011750251764005237,0.025280909484344027,42,3.0,ha_uniform
0.5,dp_uniform,0.11296685685424346,0.14391443009974458,0.1610416974745169,0.05861753887951959,0.14180228386384308,73,3.0,full_ha_dp
0.5,scheduler,0.09244556303257945,0.11610530674865926,0.09699509971745202,0.047530309657609904,0.15247812057478471,73,3.0,full_ha_dp
0.5,dp_uniform,0.11458262613022818,0.14682719482604734,0.161721096242891,0.0601145136508765,0.1438751007110184,73,3.0,ha_uniform
0.5,scheduler,0.09406133230856417,0.11901807147496202,0.0976744984858261,0.04902728442896681,0.15455093742196002,73,3.0,ha_uniform
0.5,dp_uniform,0.01965579816776808,0.0304794530078058,0.025179924564643796,0.015903444339946893,0.04015594541910328,101,3.0,full_ha_dp
0.5,scheduler,0.014287451312845811,0.02385478160870741,0.01737369238313835,0.011541921126839605,0.026100708886426238,101,3.0,full_ha_dp
0.5,dp_uniform,0.019287313433437592,0.03079335861746413,0.023779763205420523,0.016181058108968804,0.03802083333333328,101,3.0,ha_uniform
0.5,scheduler,0.013918966578515324,0.024168687218365736,0.015973531023915077,0.011819534895861517,0.02396559680065624,101,3.0,ha_uniform
0.5,dp_uniform,0.006609745316574989,0.005917223088935164,0.000580948033009121,-0.0017860003245794842,0.0016763491978585288,123,3.0,full_ha_dp
0.5,scheduler,-0.0004622588581875142,-0.002861466277300384,-0.004010113736804488,-0.006073588276498343,-0.007336972229332994,123,3.0,full_ha_dp
0.5,dp_uniform,0.00027213041102092106,-0.001911005129507759,-0.001860968855218803,-0.005399083184147557,-0.003247891503657674,123,3.0,ha_uniform
0.5,scheduler,-0.006799873763741582,-0.010689694495743307,-0.006452030625032412,-0.009686671136066416,-0.012261212930849197,123,3.0,ha_uniform
0.5,dp_uniform,0.03353323966134225,0.04814219092467287,0.09264593164632362,0.02331759418681717,0.055933690898177624,909,3.0,full_ha_dp
0.5,scheduler,0.020174337626516436,0.022616557721933273,0.06526179106802676,0.00991487987884987,0.04240422007663963,909,3.0,full_ha_dp
0.5,dp_uniform,0.032580017226056524,0.04720429413149818,0.0935714975687264,0.02415558084905084,0.057837375668923885,909,3.0,ha_uniform
0.5,scheduler,0.01922111519123071,0.021678660928758586,0.06618735699042955,0.010752866541083539,0.04430790484738589,909,3.0,ha_uniform
0.5,dp_uniform,0.04936776243974639,0.06169011250222989,0.0484798513031055,-0.041260956306403807,0.08106050525986574,2026,3.0,full_ha_dp
0.5,scheduler,0.030249613332922753,0.03934809341901141,0.03269080454005446,-0.049613017059370934,0.052267684620625754,2026,3.0,full_ha_dp
0.5,dp_uniform,0.049591594742263156,0.06177497256147241,0.04305707836597905,-0.03948815000644618,0.0767903364969802,2026,3.0,ha_uniform
0.5,scheduler,0.030473445635439522,0.03943295347825393,0.02726803160292801,-0.047840210759413304,0.0479975158577402,2026,3.0,ha_uniform
0.5,dp_uniform,0.020770524962542836,0.021593172593481702,0.022115050771068345,0.020124919647884765,0.04075598296122385,4096,3.0,full_ha_dp
0.5,scheduler,0.01812993271646146,0.019411118665872973,0.021901700528828005,0.01841462804733507,0.03924402354127465,4096,3.0,full_ha_dp
0.5,dp_uniform,0.019843991465345323,0.019855218617663373,0.0189845431539164,0.0154985284131951,0.03497832022816971,4096,3.0,ha_uniform
0.5,scheduler,0.01720339921926395,0.017673164690054644,0.01877119291167606,0.013788236812645405,0.03346636080822052,4096,3.0,ha_uniform
0.5,dp_uniform,0.009434015511191607,0.014404857661504122,0.014475563979190031,0.00817310478872213,0.02532283296155652,27182,3.0,full_ha_dp
0.5,scheduler,0.0013161436145465721,0.0027262956011813166,0.003521085309295735,0.0028954224411145146,0.0059016573726124455,27182,3.0,full_ha_dp
