alpha,comparator,delta_auc,delta_auprc,delta_balanced_accuracy,delta_client_auprc_mean,delta_f1,seed,target_epsilon,v5_variant
0.1,scheduler,0.07321428571428579,0.08005840308153445,-0.010714285714285676,0.02854912272659088,-0.04285093437635806,65537,3.0,full_ha_dp
0.1,dp_uniform,0.015119047619047699,0.018548609501930713,-0.039285714285714146,-0.0067794474812157834,-0.08119658119658124,65537,3.0,ha_uniform
0.1,scheduler,0.07690476190476203,0.08936434518499886,-0.023809523809523725,0.022492123125949504,-0.07532956685499059,65537,3.0,ha_uniform
0.5,dp_uniform,-0.006309523809523765,0.01010917259183397,-0.046428571428571486,0.01962372685364122,-0.07773173726212401,42,3.0,full_ha_dp
0.5,scheduler,-0.0033333333333332993,-0.0004792136050660867,-0.025000000000000022,0.013930355471006406,-0.021999188969991867,42,3.0,full_ha_dp
0.5,dp_uniform,0.004166666666666763,0.003973251271286393,-0.030952380952380953,0.0013500124851705264,-0.034298853511321226,42,3.0,ha_uniform
0.5,scheduler,0.0071428571428572285,-0.006615134925613664,-0.00952380952380949,-0.004343358897464289,0.02143369478081092,42,3.0,ha_uniform
0.5,dp_uniform,-0.03190476190476188,-0.026329767569117424,-0.00952380952380949,-0.03241674998530081,-0.0034188034188034067,73,3.0,full_ha_dp
0.5,scheduler,-0.02416666666666667,-0.020374282907112573,-0.00952380952380949,-0.028233013854498445,-0.0034188034188034067,73,3.0,full_ha_dp
0.5,dp_uniform,-0.039761904761904776,-0.031945434173170806,-0.023809523809523836,-0.03539268567479886,-0.012283640424343933,73,3.0,ha_uniform
0.5,scheduler,-0.032023809523809565,-0.025989949511165955,-0.023809523809523836,-0.0312089495439965,-0.012283640424343933,73,3.0,ha_uniform
0.5,dp_uniform,0.042619047619047556,0.02808041640096859,0.0011904761904761862,0.010923618496845255,0.10101010101010102,101,3.0,full_ha_dp
0.5,scheduler,0.036904761904761885,0.02287586480517484,0.014285714285714235,0.013932050569522791,0.1867512332628612,101,3.0,full_ha_dp
0.5,dp_uniform,0.0535714285714286,0.03554482002268511,0.05119047619047623,0.020033498308794806,0.17479139218269654,101,3.0,ha_uniform
0.5,scheduler,0.04785714285714293,0.03034026842689136,0.06428571428571428,0.023041930381472342,0.2605325244354567,101,3.0,ha_uniform
0.5,dp_uniform,-0.013333333333333308,-0.027267945099066382,-0.0035714285714285587,-0.020493731625050637,-0.0018051103295882442,123,3.0,full_ha_dp
0.5,scheduler,-0.003928571428571392,-0.019258700580765398,-0.0035714285714285587,-0.0154643985439048,-0.0018051103295882442,123,3.0,full_ha_dp
0.5,dp_uniform,-0.010000000000000009,-0.02342132722395296,0.0,-0.006939376302311229,0.0,123,3.0,ha_uniform
0.5,scheduler,-0.0005952380952380931,-0.015412082705651975,0.0,-0.0019100432211653917,0.0,123,3.0,ha_uniform
0.5,dp_uniform,0.024642857142857078,0.037524715225398464,0.01904761904761909,0.03491013105541929,0.01820987654320988,909,3.0,full_ha_dp
0.5,scheduler,0.03750000000000009,0.04893573521652228,0.042857142857142816,0.039276628618423126,0.05394736842105263,909,3.0,full_ha_dp
0.5,dp_uniform,-0.0011904761904762973,-0.0008809306845132259,0.0071428571428572285,-0.000727210192830674,0.005709876543209924,909,3.0,ha_uniform
