alpha,comparator_rounds,comparator_variant,contrast_family,dataset,difference_ci95,difference_ci95_high,difference_ci95_low,difference_std,improved_pairs,mean_difference,mean_improvement,metric,metric_goal,negative_differences,num_pairs,paired_seeds,paired_t_p,paired_t_p_holm_auprc_family,positive_differences,target_rounds,target_variant,ties,wilcoxon_p,wilcoxon_p_holm_auprc_family
0.1,50,full_ha_dp,horizon_vs_50,default_credit_card_clients,0.03581729571327247,0.0783003579586515,0.006665766532106578,0.028846206191922283,5,0.042483062245379045,0.042483062245379045,auprc,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.030126183885859758,0.11406704141703632,5,100,full_ha_dp,0,0.0625,0.5
0.1,50,dp_uniform,full_vs_dp,default_credit_card_clients,0.010829852677096137,0.024901131016903208,0.003241425662710932,0.008722047746220372,5,0.01407127833980707,0.01407127833980707,auprc,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.0226078323118059,0.11303916155902949,5,50,full_ha_dp,0,0.0625,0.375
0.1,75,dp_uniform,full_vs_dp,default_credit_card_clients,0.005665516043957872,0.017666117615630948,0.006335085527715203,0.0045628415192465925,5,0.012000601571673075,0.012000601571673075,auprc,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.004177768788766175,0.025066612732597048,5,75,full_ha_dp,0,0.0625,0.375
0.1,100,dp_uniform,full_vs_dp,default_credit_card_clients,0.013118119803451131,0.023013589887518424,-0.0032226497193838383,0.01056495140587812,4,0.009895470084067293,0.009895470084067293,auprc,maximize,1,5,"[42, 123, 2026, 27182, 31415]",0.10431407522121815,0.3729028010228755,4,100,full_ha_dp,0,0.125,0.375
0.1,50,dp_uniform,horizon_vs_50,default_credit_card_clients,0.021183052729447264,0.04543195157148874,0.0030658461125942123,0.017060213358921085,5,0.024248898842041476,0.024248898842041476,f1,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.03359033665149786,,5,75,dp_uniform,0,0.0625,
0.1,50,dp_uniform,horizon_vs_50,default_credit_card_clients,0.03367988766435378,0.07403472251018536,0.006674947181477799,0.0271248000369474,5,0.04035483484583158,0.04035483484583158,f1,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.02919528971344719,,5,100,dp_uniform,0,0.0625,
0.1,50,full_ha_dp,horizon_vs_50,default_credit_card_clients,0.03360920640474931,0.06280421968896613,-0.004414193120532494,0.02706787541023138,5,0.02919501328421682,0.02919501328421682,f1,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.07341234954639289,,5,75,full_ha_dp,0,0.0625,
0.1,50,full_ha_dp,horizon_vs_50,default_credit_card_clients,0.03760904524269175,0.07981792833580997,0.004599837850426475,0.0302892290483563,5,0.042208883093118224,0.042208883093118224,f1,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.03566347114235112,,5,100,full_ha_dp,0,0.0625,
0.1,50,dp_uniform,full_vs_dp,default_credit_card_clients,0.019290029851499635,0.035377693378633134,-0.0032023663243661363,0.01553562789885609,4,0.0160876635271335,0.0160876635271335,f1,maximize,1,5,"[42, 123, 2026, 27182, 31415]",0.0815362466259022,,4,50,full_ha_dp,0,0.125,
0.1,75,dp_uniform,full_vs_dp,default_credit_card_clients,0.013135335632085155,0.034169113601394,0.007898442337223687,0.010578816532562095,5,0.02103377796930884,0.02103377796930884,f1,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.011281896112778324,,5,75,full_ha_dp,0,0.0625,
0.1,100,dp_uniform,full_vs_dp,default_credit_card_clients,0.01997567828529964,0.03791739005971979,-0.0020339665108794966,0.016087829166503288,4,0.017941711774420145,0.017941711774420145,f1,maximize,1,5,"[42, 123, 2026, 27182, 31415]",0.06721480571630795,,4,100,full_ha_dp,0,0.125,
0.1,50,dp_uniform,horizon_vs_50,default_credit_card_clients,0.03459214419189951,0.06286284130212452,-0.006321447081674501,0.027859504859560787,5,0.028270697110225007,0.028270697110225007,balanced_accuracy,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.08581564237930144,,5,75,dp_uniform,0,0.0625,
0.1,50,dp_uniform,horizon_vs_50,default_credit_card_clients,0.04122697811756961,0.07821057337071219,-0.004243382864427027,0.033203006753203736,5,0.036983595253142584,0.036983595253142584,balanced_accuracy,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.06743583682517497,,5,100,dp_uniform,0,0.0625,
0.1,50,full_ha_dp,horizon_vs_50,default_credit_card_clients,0.025315681516460194,0.045488874179469535,-0.005142488853450852,0.020388512152307487,5,0.02017319266300934,0.02017319266300934,balanced_accuracy,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.09137622095773,,5,75,full_ha_dp,0,0.0625,
