alpha,comparator_rounds,comparator_variant,contrast_family,dataset,difference_ci95,difference_ci95_high,difference_ci95_low,difference_std,improved_pairs,mean_difference,mean_improvement,metric,metric_goal,negative_differences,num_pairs,paired_seeds,paired_t_p,paired_t_p_holm_auprc_family,positive_differences,target_rounds,target_variant,ties,wilcoxon_p,wilcoxon_p_holm_auprc_family
0.5,50,full_ha_dp,horizon_vs_50,give_me_some_credit,0.006443500363048339,0.012340589227295608,-0.0005464114988010709,0.00518940741808551,5,0.005897088864247268,0.005897088864247268,auprc,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.06391289346129307,0.3834773607677584,5,100,full_ha_dp,0,0.0625,0.5
0.5,50,dp_uniform,full_vs_dp,give_me_some_credit,0.021319303568470286,0.07040663026157061,0.02776802312463004,0.017169945814094246,5,0.04908732669310033,0.04908732669310033,auprc,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.0030738782607480798,0.01844326956448848,5,50,full_ha_dp,0,0.0625,0.375
0.5,75,dp_uniform,full_vs_dp,give_me_some_credit,0.023988437795426535,0.06598526776751894,0.018008392176665864,0.0193195887374757,5,0.0419968299720924,0.0419968299720924,auprc,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.008274780674860703,0.041373903374303515,5,75,full_ha_dp,0,0.0625,0.375
0.5,100,dp_uniform,full_vs_dp,give_me_some_credit,0.022192041092333834,0.05905459330231294,0.01467051111764527,0.01787282318279148,5,0.0368625522099791,0.0368625522099791,auprc,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.009941643848678057,0.041373903374303515,5,100,full_ha_dp,0,0.0625,0.375
0.5,50,dp_uniform,horizon_vs_50,give_me_some_credit,0.006342736491285841,0.011744473787323743,-0.0009409991952479399,0.005108255132194748,5,0.005401737296037901,0.005401737296037901,f1,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.07727973125220004,,5,75,dp_uniform,0,0.0625,
0.5,50,dp_uniform,horizon_vs_50,give_me_some_credit,0.0031572122756580896,0.013052623620862831,0.006738199069546652,0.0025427267604000926,5,0.009895411345204741,0.009895411345204741,f1,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.00096023103392712,,5,100,dp_uniform,0,0.0625,
0.5,50,full_ha_dp,horizon_vs_50,give_me_some_credit,0.0018587321530709315,0.003993796399607764,0.0002763320934659015,0.0014969687095380366,4,0.002135064246536833,0.002135064246536833,f1,maximize,1,5,"[42, 123, 2026, 27182, 31415]",0.03324126696154158,,4,75,full_ha_dp,0,0.125,
0.5,50,full_ha_dp,horizon_vs_50,give_me_some_credit,0.002616076370121273,0.0051478067781130345,-8.43459621295119e-05,0.002106911671680727,5,0.0025317304079917613,0.0025317304079917613,f1,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.05483256235560643,,5,100,full_ha_dp,0,0.0625,
0.5,50,dp_uniform,full_vs_dp,give_me_some_credit,0.018721394229508415,0.050016627715026005,0.012573839256009176,0.01507766533989181,5,0.03129523348551759,0.03129523348551759,f1,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.009725355632551214,,5,50,full_ha_dp,0,0.0625,
0.5,75,dp_uniform,full_vs_dp,give_me_some_credit,0.02045134185047869,0.048479902286495215,0.007577218585537837,0.01647091474027136,5,0.028028560436016526,0.028028560436016526,f1,maximize,0,5,"[42, 123, 2026, 27182, 31415]",0.019019769473195773,,5,75,full_ha_dp,0,0.0625,
