alpha,auc_mean,auc_std,auprc_mean,auprc_std,balanced_accuracy_mean,balanced_accuracy_std,brier_mean,brier_std,curve_method,epsilon_mean,epsilon_std,f1_mean,f1_std,num_runs,precision_mean,precision_std,recall_mean,recall_std,target_epsilon,training_time_mean,training_time_std
0.1,0.6834405218066363,0.03871754798745396,0.44932096032862306,0.047459776134353954,0.6445713006672558,0.03680935362148732,0.20949183113028988,0.019989518970685342,full_ha_dp,4.999841705137403,0.00015143847654862816,0.44942495071501354,0.05537438892696054,5,0.49393131857016614,0.10085913933929337,0.43029389600602863,0.07419027518761911,5.0,770.4923586845398,604.6944907240235
0.1,0.6825060703223685,0.02301242429160643,0.4524612291750274,0.02898445823460602,0.6437625855275645,0.017257205333330434,0.22012267949682873,0.0007640729937218595,scheduler,4.999874203414783,0.00011418964440078229,0.44494241229597464,0.02546633222384622,5,0.46745033802774727,0.06277271080414767,0.43526752072343633,0.060780286352766354,5.0,772.7367144107818,600.1170828295436
0.1,0.6709992354546497,0.0262571391725027,0.4320323421233228,0.035846515118826375,0.6302194249993267,0.024205770171742934,0.22028496456228008,0.0005494482791425822,dp_uniform,7.999904529669068,0.00012754965514343695,0.4241861358042241,0.03481975559917448,5,0.4567439920805487,0.08262700685149948,0.41160512434061797,0.06762804005255742,8.0,78.42233400344848,18.515070283157335
0.1,0.6903098029356542,0.03533556451328166,0.45720833204472905,0.041138751856904826,0.6479345745275292,0.03187536490152225,0.20987470751539958,0.019509424904270337,full_ha_dp,7.999917939091819,6.9750776428067e-05,0.45461859222428597,0.048341447829990516,5,0.4914103827945832,0.08971115469215053,0.4349660889223813,0.05615911888875884,8.0,893.3121870994568,535.0666252619184
0.1,0.6869859577482664,0.019488157415044713,0.45502113104734576,0.022541315559978754,0.6432614624151215,0.015687529136090783,0.22024552075150744,0.0006627704803266927,scheduler,7.999778884834219,0.0001396627207797509,0.4440483864260567,0.023636146567125774,5,0.47817834804768705,0.06578789790574845,0.42532027128862093,0.05969139344741863,8.0,898.4381151676178,533.7817033806591
0.5,0.6207504477855519,0.015562924286785039,0.3714249146195689,0.02818938599818905,0.5900194659922455,0.022215511596317655,0.20795419867044898,0.02290413004847841,dp_uniform,0.9997619793451101,7.338418705767499e-05,0.3802737946995079,0.01749410696901139,5,0.32994244968934405,0.06330367158068177,0.47445365486058777,0.07488282775214929,1.0,71.31354913711547,18.453226698670598
0.5,0.6480039657665587,0.02487264228389164,0.4140018247722898,0.0411652989876919,0.6254390733471685,0.03201527250651469,0.19685603629854329,0.018374281124447372,full_ha_dp,0.999889907180069,7.209597531206883e-05,0.4229041428417757,0.03825906059625328,5,0.44005962632864665,0.0974092325057135,0.4334589299171062,0.08286873637951182,1.0,948.6804347515106,532.3925402855717
0.5,0.6265383028189807,0.01780594163111328,0.38051965047964165,0.029456146336732564,0.5975899001962726,0.02190241380842748,0.20807519863310872,0.02266435291163524,scheduler,0.9998968982641021,4.3783498150253094e-05,0.38645609110374496,0.022185076998016636,5,0.3495858080440346,0.07139568582970005,0.45877920120572724,0.07938808949526992,1.0,930.8397853851318,521.6417186124216
0.5,0.6481576166439635,0.01322355936812565,0.4152247147045623,0.019013416346305642,0.620343211680692,0.013489216005588073,0.21741593880729881,0.0021718518978086775,dp_uniform,1.9997352578853835,0.00016974190160618207,0.4097184171063733,0.015039888512065405,5,0.43889356191899653,0.07701286022868056,0.4079879427279578,0.09184801830669005,2.0,65.75122728347779,15.220828397841288
0.5,0.668055195626691,0.017554501232825055,0.4427238328415959,0.018923574018596907,0.641876250086477,0.01432510202324939,0.2066098766293219,0.008974985983815896,full_ha_dp,1.9999158326467739,5.213294175825125e-05,0.4424883168265049,0.025811805184388643,5,0.5046194146148211,0.051800037047958526,0.39562923888470236,0.02388977767015427,2.0,820.4388764858246,443.27151993572386
