result_row,dataset,method,alpha,seed,target_epsilon,prediction_path,selection_data,variant,threshold,auc,auprc,f1,precision,recall,balanced_accuracy,brier,ece_10
6,default_credit_card_clients,dp_uniform,0.5,2026,1.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_dp_uniform_eps1p0_uniform_seed2026.csv,validation_only,platt_validation_f1,0.24054044997401317,0.6100306705083687,0.34518587172388293,0.3681863230921705,0.2742709486895533,0.5599095704596835,0.5695974130920287,0.16883317986518728,0.022320240477179697
7,default_credit_card_clients,scheduler,0.5,2026,1.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_scheduler_eps1p0_back_loaded_seed2026.csv,validation_only,raw_fixed_0p5,0.5,0.6224265937287284,0.36347505134926517,0.0,0.0,0.0,0.5,0.21975402337300023,0.21878963765751575
7,default_credit_card_clients,scheduler,0.5,2026,1.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_scheduler_eps1p0_back_loaded_seed2026.csv,validation_only,raw_validation_f1,0.002459902124411,0.6224265937287284,0.36347505134926517,0.3761706555671176,0.2872467222884386,0.544837980406933,0.5804652131865609,0.21975402337300023,0.21878963765751575
7,default_credit_card_clients,scheduler,0.5,2026,1.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_scheduler_eps1p0_back_loaded_seed2026.csv,validation_only,platt_fixed_0p5,0.5,0.6224256261539337,0.36347467639509834,0.0,0.0,0.0,0.5,0.16774355350007153,0.03725107010057878
7,default_credit_card_clients,scheduler,0.5,2026,1.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_scheduler_eps1p0_back_loaded_seed2026.csv,validation_only,platt_validation_f1,0.24757996052054332,0.6224256261539337,0.36347467639509834,0.3761706555671176,0.2872467222884386,0.544837980406933,0.5804652131865609,0.16774355350007153,0.03725107010057878
8,default_credit_card_clients,full_ha_dp,0.5,2026,1.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_full_ha_dp_eps1p0_back_loaded_seed2026.csv,validation_only,raw_fixed_0p5,0.5,0.6798067624124929,0.4534234598403034,0.0,0.0,0.0,0.5,0.20277153998029715,0.19325052414307975
8,default_credit_card_clients,full_ha_dp,0.5,2026,1.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_full_ha_dp_eps1p0_back_loaded_seed2026.csv,validation_only,raw_validation_f1,0.0428103708647738,0.6798067624124929,0.4534234598403034,0.46890343698854337,0.5129811996418979,0.43180105501130367,0.6576938080534798,0.20277153998029715,0.19325052414307975
8,default_credit_card_clients,full_ha_dp,0.5,2026,1.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_full_ha_dp_eps1p0_back_loaded_seed2026.csv,validation_only,platt_fixed_0p5,0.5,0.6798067624124929,0.4534234598403034,0.0074962518740629685,0.7142857142857143,0.0037678975131876413,0.5016699534644903,0.15839933301492046,0.06718190898987178
8,default_credit_card_clients,full_ha_dp,0.5,2026,1.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_full_ha_dp_eps1p0_back_loaded_seed2026.csv,validation_only,platt_validation_f1,0.3044180567872146,0.6798067624124929,0.4534234598403034,0.46890343698854337,0.5129811996418979,0.43180105501130367,0.6576938080534798,0.15839933301492046,0.06718190898987178
9,default_credit_card_clients,dp_uniform,0.5,31415,1.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_dp_uniform_eps1p0_uniform_seed31415.csv,validation_only,raw_fixed_0p5,0.5,0.6419511242493434,0.4126797475805999,0.0,0.0,0.0,0.5,0.21890045712840342,0.21786893687116315
9,default_credit_card_clients,dp_uniform,0.5,31415,1.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_dp_uniform_eps1p0_uniform_seed31415.csv,validation_only,raw_validation_f1,0.0048931291166134,0.6419511242493434,0.4126797475805999,0.4014925373134328,0.3976348854397635,0.4054257724189902,0.6155098046772888,0.21890045712840342,0.21786893687116315
9,default_credit_card_clients,dp_uniform,0.5,31415,1.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_dp_uniform_eps1p0_uniform_seed31415.csv,validation_only,platt_fixed_0p5,0.5,0.6419520918241381,0.41267974758059994,0.0,0.0,0.0,0.5,0.16510864546905188,0.06267121062936887
9,default_credit_card_clients,dp_uniform,0.5,31415,1.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_dp_uniform_eps1p0_uniform_seed31415.csv,validation_only,platt_validation_f1,0.269936748278248,0.6419520918241381,0.41267974758059994,0.4014925373134328,0.3976348854397635,0.4054257724189902,0.6155098046772888,0.16510864546905188,0.06267121062936887
10,default_credit_card_clients,scheduler,0.5,31415,1.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_scheduler_eps1p0_back_loaded_seed31415.csv,validation_only,raw_fixed_0p5,0.5,0.6538300400043798,0.430529164970049,0.0,0.0,0.0,0.5,0.21896531758702437,0.21804452464382784
10,default_credit_card_clients,scheduler,0.5,31415,1.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_scheduler_eps1p0_back_loaded_seed31415.csv,validation_only,raw_validation_f1,0.0045282021554535,0.6538300400043798,0.430529164970049,0.42309124767225326,0.4182621502209131,0.42803315749811605,0.6294884383681464,0.21896531758702437,0.21804452464382784
10,default_credit_card_clients,scheduler,0.5,31415,1.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_scheduler_eps1p0_back_loaded_seed31415.csv,validation_only,platt_fixed_0p5,0.5,0.6538297174794483,0.4305290960417721,0.0,0.0,0.0,0.5,0.16311044657576257,0.06732424192820717
10,default_credit_card_clients,scheduler,0.5,31415,1.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_scheduler_eps1p0_back_loaded_seed31415.csv,validation_only,platt_validation_f1,0.2762376959408199,0.6538297174794483,0.4305290960417721,0.42309124767225326,0.4182621502209131,0.42803315749811605,0.6294884383681464,0.16311044657576257,0.06732424192820717
11,default_credit_card_clients,full_ha_dp,0.5,31415,1.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_full_ha_dp_eps1p0_back_loaded_seed31415.csv,validation_only,raw_fixed_0p5,0.5,0.665599458545145,0.4543973411377031,0.0,0.0,0.0,0.5,0.20278828657260947,0.19352712885943868
11,default_credit_card_clients,full_ha_dp,0.5,31415,1.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_full_ha_dp_eps1p0_back_loaded_seed31415.csv,validation_only,raw_validation_f1,0.0392264578865519,0.665599458545145,0.4543973411377031,0.44461420932009166,0.45081332300542215,0.4385832705350414,0.6434303042168038,0.20278828657260947,0.19352712885943868
11,default_credit_card_clients,full_ha_dp,0.5,31415,1.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_full_ha_dp_eps1p0_back_loaded_seed31415.csv,validation_only,platt_fixed_0p5,0.5,0.665599458545145,0.4543973411377031,0.0015060240963855422,1.0,0.0007535795026375283,0.5003767897513187,0.15974456524701688,0.07220691443067374
11,default_credit_card_clients,full_ha_dp,0.5,31415,1.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_full_ha_dp_eps1p0_back_loaded_seed31415.csv,validation_only,platt_validation_f1,0.2848999203052825,0.665599458545145,0.4543973411377031,0.44461420932009166,0.45081332300542215,0.4385832705350414,0.6434303042168038,0.15974456524701688,0.07220691443067374
12,default_credit_card_clients,dp_uniform,0.5,27182,1.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_dp_uniform_eps1p0_uniform_seed27182.csv,validation_only,raw_fixed_0p5,0.5,0.6244547111297387,0.36116908283677296,0.0,0.0,0.0,0.5,0.21872196430872706,0.21721020738400018
12,default_credit_card_clients,dp_uniform,0.5,27182,1.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_dp_uniform_eps1p0_uniform_seed27182.csv,validation_only,raw_validation_f1,0.0036024257076732,0.6244547111297387,0.36116908283677296,0.3737133808392716,0.2875710804224208,0.53353428786737,0.5790932727588509,0.21872196430872706,0.21721020738400018
12,default_credit_card_clients,dp_uniform,0.5,27182,1.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_dp_uniform_eps1p0_uniform_seed27182.csv,validation_only,platt_fixed_0p5,0.5,0.6244567269105611,0.36116964662341605,0.0,0.0,0.0,0.5,0.16721277228254486,0.04006080472492406
12,default_credit_card_clients,dp_uniform,0.5,27182,1.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_dp_uniform_eps1p0_uniform_seed27182.csv,validation_only,platt_validation_f1,0.24212457468847715,0.6244567269105611,0.36116964662341605,0.3737133808392716,0.2875710804224208,0.53353428786737,0.5790932727588509,0.16721277228254486,0.04006080472492406
13,default_credit_card_clients,scheduler,0.5,27182,1.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_scheduler_eps1p0_back_loaded_seed27182.csv,validation_only,raw_fixed_0p5,0.5,0.6309381879356002,0.3743170844246996,0.0,0.0,0.0,0.5,0.21869600177574414,0.21721486717653193
13,default_credit_card_clients,scheduler,0.5,27182,1.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_scheduler_eps1p0_back_loaded_seed27182.csv,validation_only,raw_validation_f1,0.0037312878003534,0.6309381879356002,0.3743170844246996,0.3770053475935829,0.29216742644011606,0.5312735493594575,0.5828847952232767,0.21869600177574414,0.21721486717653193
13,default_credit_card_clients,scheduler,0.5,27182,1.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_scheduler_eps1p0_back_loaded_seed27182.csv,validation_only,platt_fixed_0p5,0.5,0.6309391555103949,0.3743170844246995,0.0,0.0,0.0,0.5,0.16645685254059867,0.04699119889104593
13,default_credit_card_clients,scheduler,0.5,27182,1.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_scheduler_eps1p0_back_loaded_seed27182.csv,validation_only,platt_validation_f1,0.2443551283549285,0.6309391555103949,0.3743170844246995,0.3770053475935829,0.29216742644011606,0.5312735493594575,0.5828847952232767,0.16645685254059867,0.04699119889104593
14,default_credit_card_clients,full_ha_dp,0.5,27182,1.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_full_ha_dp_eps1p0_back_loaded_seed27182.csv,validation_only,raw_fixed_0p5,0.5,0.6253681017359743,0.36372543952634506,0.0,0.0,0.0,0.5,0.21694939743766387,0.21407332982547897
14,default_credit_card_clients,full_ha_dp,0.5,27182,1.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_full_ha_dp_eps1p0_back_loaded_seed27182.csv,validation_only,raw_validation_f1,0.0061005131134291,0.6253681017359743,0.36372543952634506,0.3741614906832298,0.27909562638991847,0.5674453654860587,0.5756122611723039,0.21694939743766387,0.21407332982547897
14,default_credit_card_clients,full_ha_dp,0.5,27182,1.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_full_ha_dp_eps1p0_back_loaded_seed27182.csv,validation_only,platt_fixed_0p5,0.5,0.6253678598422756,0.36372564975212607,0.0,0.0,0.0,0.5,0.167036595528845,0.04289038175154301
14,default_credit_card_clients,full_ha_dp,0.5,27182,1.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_full_ha_dp_eps1p0_back_loaded_seed27182.csv,validation_only,platt_validation_f1,0.2363041414022091,0.6253678598422756,0.36372564975212607,0.3741614906832298,0.27909562638991847,0.5674453654860587,0.5756122611723039,0.167036595528845,0.04289038175154301
15,default_credit_card_clients,dp_uniform,0.5,42,2.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_dp_uniform_eps2p0_uniform_seed42.csv,validation_only,raw_fixed_0p5,0.5,0.6311893542260684,0.39557482262174565,0.0,0.0,0.0,0.5,0.2151725060872821,0.21275703634061555
15,default_credit_card_clients,dp_uniform,0.5,42,2.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_dp_uniform_eps2p0_uniform_seed42.csv,validation_only,raw_validation_f1,0.0124665221017335,0.6311893542260684,0.39557482262174565,0.40920295809367296,0.44986449864498645,0.3752825923134891,0.6224797297112064,0.2151725060872821,0.21275703634061555
15,default_credit_card_clients,dp_uniform,0.5,42,2.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_dp_uniform_eps2p0_uniform_seed42.csv,validation_only,platt_fixed_0p5,0.5,0.6311893542260684,0.3955748226217457,0.0,0.0,0.0,0.5,0.16503569499142645,0.07087798064534472
15,default_credit_card_clients,dp_uniform,0.5,42,2.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_dp_uniform_eps2p0_uniform_seed42.csv,validation_only,platt_validation_f1,0.28207954044748523,0.6311893542260684,0.3955748226217457,0.40920295809367296,0.44986449864498645,0.3752825923134891,0.6224797297112064,0.16503569499142645,0.07087798064534472
16,default_credit_card_clients,scheduler,0.5,42,2.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_scheduler_eps2p0_back_loaded_seed42.csv,validation_only,raw_fixed_0p5,0.5,0.6361285010282901,0.4034174786222704,0.0,0.0,0.0,0.5,0.21551096256349866,0.21334845213205936
16,default_credit_card_clients,scheduler,0.5,42,2.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_scheduler_eps2p0_back_loaded_seed42.csv,validation_only,raw_validation_f1,0.0116945361584063,0.6361285010282901,0.4034174786222704,0.4219409282700422,0.4793863854266539,0.37678975131876413,0.6302951538532617,0.21551096256349866,0.21334845213205936
16,default_credit_card_clients,scheduler,0.5,42,2.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_scheduler_eps2p0_back_loaded_seed42.csv,validation_only,platt_fixed_0p5,0.5,0.6361285010282901,0.4034174786222704,0.0,0.0,0.0,0.5,0.16426576644225768,0.06963569532107867
16,default_credit_card_clients,scheduler,0.5,42,2.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_scheduler_eps2p0_back_loaded_seed42.csv,validation_only,platt_validation_f1,0.2851021894536021,0.6361285010282901,0.4034174786222704,0.4219409282700422,0.4793863854266539,0.37678975131876413,0.6302951538532617,0.16426576644225768,0.06963569532107867
17,default_credit_card_clients,full_ha_dp,0.5,42,2.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_full_ha_dp_eps2p0_back_loaded_seed42.csv,validation_only,raw_fixed_0p5,0.5,0.6615454007864126,0.4388107279471412,0.0,0.0,0.0,0.5,0.1956628131058479,0.1845575502262954
17,default_credit_card_clients,full_ha_dp,0.5,42,2.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_full_ha_dp_eps2p0_back_loaded_seed42.csv,validation_only,raw_validation_f1,0.0526010008624628,0.6615454007864126,0.4388107279471412,0.4515856236786469,0.5144508670520231,0.4024114544084401,0.6472789135941195,0.1956628131058479,0.1845575502262954
17,default_credit_card_clients,full_ha_dp,0.5,42,2.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_full_ha_dp_eps2p0_back_loaded_seed42.csv,validation_only,platt_fixed_0p5,0.5,0.6615454007864126,0.4388107279471412,0.0030097817908201654,1.0,0.0015071590052750565,0.5007535795026375,0.1596632926137915,0.07125266928835249
17,default_credit_card_clients,full_ha_dp,0.5,42,2.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_full_ha_dp_eps2p0_back_loaded_seed42.csv,validation_only,platt_validation_f1,0.2950158074567297,0.6615454007864126,0.4388107279471412,0.4515856236786469,0.5144508670520231,0.4024114544084401,0.6472789135941195,0.1596632926137915,0.07125266928835249
18,default_credit_card_clients,dp_uniform,0.5,123,2.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_dp_uniform_eps2p0_uniform_seed123.csv,validation_only,raw_fixed_0p5,0.5,0.6455109931816617,0.4175322692673872,0.0,0.0,0.0,0.5,0.21504595244229244,0.21244920482324878
18,default_credit_card_clients,dp_uniform,0.5,123,2.0,results/predictions/default_credit_ha_dp_fedavg_noniid_alpha0p5_EPS_dp_uniform_eps2p0_uniform_seed123.csv,validation_only,raw_validation_f1,0.0157176896284069,0.6455109931816617,0.4175322692673872,0.40036150022593764,0.5,0.333835719668425,0.6195179026332709,0.21504595244229244,0.21244920482324878
